LIPID_NAME	AO_LDLR_1f_chow	AO_LDLR_1m_chow	AO_LDLR_2f_chow	AO_LDLR_2m_chow	AO_LDLR_13f_chow	AO_LDLR_13m_chow	AO_LDLR_5f_WD	AO_LDLR_5m_WD	AO_LDLR_6f_WD	AO_LDLR_6m_WD	AO_LDLR_10f_WD	AO_LDLR_11m_WD	AO_PCSK9_1f_chow	AO_PCSK9_1m_chow	AO_PCSK9_2f_chow	AO_PCSK9_2m_chow	AO_PCSK9_13f_chow	AO_PCSK9_13m_chow	AO_PCSK9_5f_WD	AO_PCSK9_5m_WD	AO_PCSK9_6f_WD	AO_PCSK9_6m_WD	AO_PCSK9_10f_WD	AO_PCSK9_12m_WD	AO_BL6_1f_chow	AO_BL6_1m_chow	AO_BL6_2f_chow	AO_BL6_2m_chow	AO_BL6_13f_chow	AO_BL6_13m_chow	AO_BL6_5f_WD	AO_BL6_6f_WD	AO_BL6_6m_WD	AO_BL6_7m_WD	AO_BL6_10f_WD	AO_BL6_12m_WD	LI_LDLR_1f_chow	LI_LDLR_1m_chow	LI_LDLR_2f_chow	LI_LDLR_2m_chow	LI_LDLR_3m_chow	LI_LDLR_4m_chow	LI_LDLR_5f_WD	LI_LDLR_5m_WD	LI_LDLR_6f_WD	LI_LDLR_6m_WD	LI_LDLR_7f_WD	LI_LDLR_11m_WD	LI_PCSK9_1f_chow	LI_PCSK9_1m_chow	LI_PCSK9_2f_chow	LI_PCSK9_2m_chow	LI_PCSK9_3f_chow	LI_PCSK9_3m_chow	LI_PCSK9_5f_WD	LI_PCSK9_5m_WD	LI_PCSK9_6f_WD	LI_PCSK9_6m_WD	LI_PCSK9_7f_WD	LI_PCSK9_7m_WD	LI_BL6_1f_chow	LI_BL6_1m_chow	LI_BL6_2f_chow	LI_BL6_2m_chow	LI_BL6_3f_chow	LI_BL6_3m_chow	LI_BL6_5f_WD	LI_BL6_6f_WD	LI_BL6_6m_WD	LI_BL6_7f_WD	LI_BL6_7m_WD	LI_BL6_12m_WD	PL_LDLR_1f_chow	PL_LDLR_1m_chow	PL_LDLR_2f_chow	PL_LDLR_2m_chow	PL_LDLR_3m_chow	PL_LDLR_4m_chow	PL_LDLR_5f_WD	PL_LDLR_5m_WD	PL_LDLR_6f_WD	PL_LDLR_6m_WD	PL_LDLR_7f_WD	PL_LDLR_11m_WD	PL_PCSK9_1f_chow	PL_PCSK9_1m_chow	PL_PCSK9_2f_chow	PL_PCSK9_2m_chow	PL_PCSK9_3f_chow	PL_PCSK9_3m_chow	PL_PCSK9_5f_WD	PL_PCSK9_5m_WD	PL_PCSK9_6f_WD	PL_PCSK9_6m_WD	PL_PCSK9_7f_WD	PL_PCSK9_7m_WD	PL_BL6_1f_chow	PL_BL6_1m_chow	PL_BL6_2f_chow	PL_BL6_2m_chow	PL_BL6_3f_chow	PL_BL6_3m_chow	PL_BL6_5f_WD	PL_BL6_6f_WD	PL_BL6_6m_WD	PL_BL6_7f_WD	PL_BL6_7m_WD	PL_BL6_8m_WD
12:0	0	0	0	0	0	0	3373583555.46939	3286534412.70258	3569987730.29451	4591364499.3488	3020136942.22444	3409844310.88319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2169886351.52661	1038125246.09873	3272283739.02139	1617238821.02114	1865630572.10812	2052972810.03586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15316530514366.8	13915756740025.6	15680418520122.2	0	17556326560862.2	0	0	0	0	0	0	0	255168794761.369	0	706744617156.429	0	217086331862.013	0	0	0	0	0	0	652727230924.47	895993253923.897	1413681990395.2	410436881884.256	1532005054060.99	1304656959792.22
13:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	823252030044.615	1380273536544.13	1988104439899.68	0	1667399832699.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14:0	44184840713.607	49008047578.975	36400158519.8811	49276008878.9909	26246301615.8828	35678708996.0615	191382360644.919	225076238920.499	231869933754.134	298570486709.22	232525869551.777	190942955378.174	72663648949.1754	42058021160.4265	31459223919.5784	51083383067.0907	39610700259.7661	48697865711.8462	107689145841.461	110423247774.308	102254434473.471	129360270833.947	80730885354.8632	127138817251.59	41412185456.5432	41764169592.881	37444156075.9723	48371655615.7194	40793098115.0402	40617156921.857	78288900191.4449	102989659283.173	98632382745.9472	119681230830.247	111344039374.37	119892426948.773	32163255123.626	31882522850.1589	32803997541.6581	26559298954.3051	43204987087.533	34785272187.9643	114865170981.426	90909969308.0185	169794058276.082	129268247583.496	130125674639.011	129737475334.865	17561593067.0912	26135777987.3912	14668874749.0899	19313104190.402	22644473441.785	22267711869.3265	74992415576.0686	71347781482.7665	84480697161.9968	116375696804.026	78286620028.2522	83364853779.2821	16927927989.4371	26803480747.1618	23334139129.9252	26050635213.5341	22862772615.2309	30668159772.3229	81614852226.02	69345679744.0776	80327359822.6797	87668067028.735	70825321739.949	134023927882.328	6929356727764.76	9207949987593.6	6081429375970.73	9047577482631.9	9499664217916.9	8292578439864.75	21032121367478.3	247214373509580	207764839701360	290940598729688	26981296884760.1	229746901053624	0	2024369018409.38	796590938361.633	1223408375437.78	0	1074281602943.29	0	14251351091216.9	0	22745122639564.1	0	13289675264679.8	2399342567986.29	3097723963163.65	0	2286040530864.9	2123996821051.98	2313608866559.2	19833405091594.8	19596167299583.2	33677473289947	17642654874265.2	33222629960394.4	35987170578975.1
14:1	0	0	0	0	0	0	5761424854.87058	6943468969.59074	6930940628.19466	11985436304.3944	4506506934.08267	7125582242.83375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5389757230.69883	3319383625.32089	9777895433.17406	6235744747.88398	6780280213.76944	5012311362.37479	0	0	0	0	0	0	2968544960.39548	478983920.664338	4446751037.00092	3409660454.92283	4143668310.39996	2805648398.84856	0	0	0	0	0	0	5834769532.13193	4730776457.97426	5327752485.55684	4629785818.23787	3871085559.269	11166839832.4618	224252845692.931	909003051329.469	363533830703.981	499579934107.781	543739430099.598	708972058252.333	0	28094394333420.2	23697050322753.9	30271359643353.6	0	28452077602370.8	0	0	0	0	0	0	0	913025843830.801	0	1518889670459.77	0	819104371102.355	0	0	0	0	0	0	1253459120578.44	1235788434984.41	2137779709043.65	1046206820438.92	1937946304094.23	2123507109771.36
15:0	0	0	0	0	0	0	19233897802.1161	28241480662.771	32568453124.7684	49889859065.6976	24081468683.635	25889445025.599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27238267995.4124	15473736464.1485	50504923617.1082	21713188983.9367	28814767093.7573	24394219174.5035	0	0	0	0	0	0	12645006162.9376	7127168474.73549	14284153472.1751	11463146325.7277	9440825309.33282	14992168201.9568	0	0	0	0	0	0	14865426044.8162	11728216034.5897	13473466841.3726	16636582656.2521	11764373269.4021	24488361977.65	3205860229959.16	4893945240522.31	3118822712995.5	4820993229247.2	5420189475030.16	4115902130697.17	0	105706281003514	94115017728940.3	111415367629061	0	100449780738242	0	1572125797252.23	585618441135.744	541264380672.912	0	460321876505.455	0	6286023454296.41	0	10174611379660	0	5298847727865.84	1280189478202.9	1846557403378.61	0	1591782452955.79	1194146084448.52	1642026872550.12	7446475664383.74	7575167236576.48	9879435285472.03	5488451821798.5	10630493685929.3	11225742902560.6
15:1	0	0	0	0	0	0	964421589.020896	2452622311.69966	3096536049.32846	3918059883.93163	1876921243.11528	1842523135.86854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1147485938.96945	1897413805.57334	3660623961.26279	1791713129.02986	1843534614.64689	1544049093.44404	0	0	0	0	0	0	1421147978.1848	0	1388268955.96925	1325052375.42261	1227190298.08284	1167340335.1609	0	0	0	0	0	0	1438628265.78619	1179884876.11589	2016994372.58543	1862038545.75115	1611153327.24232	2936923722.51932	212450064353.349	498989401289.144	275561231118.234	455526919322.183	236072918224.89	476128674816.712	0	12946924503786.2	9129521920002.67	11858286295837.1	0	12232277786540.2	0	0	0	0	0	0	0	531269404766.937	0	998495667631.806	0	556801584058.002	0	0	0	0	0	0	735672180152.866	883200964743.791	1347808714707.64	549634958516.372	1172686171473.01	1250572998552.21
16:0	2183156156610.11	2132594320967.1	1107534162416.23	2192307839545.6	1559213071020.01	1885640440961.75	3411145268432.16	3751346570573.66	3553912905583.9	4848754097315.5	3264328606490	3351391431639.09	1941504508934.02	1656433889689.16	1534088034656.92	2212870038186.36	1113682830449.26	1299833180611.22	1675079304301.85	1338993364292.85	1351003445869.01	1899948316316.22	1598113849315.79	1834286057269.94	1850699434125.93	1607890194178.49	2174787664776.02	2037988611094.87	1983835668518.79	1671165865983.82	1831268763399.84	1555518715044.28	1832362131987.98	2294605192633.73	1712317511075.2	1894074997050.91	3770460289382.53	5849207753250.72	4931829872782.34	4569103195446.74	6253696330940.05	6025569264004.2	5055001836714.11	4842711525892.85	5540792654625.16	4936532603708.79	5281073472393.04	6259333022611.55	5010400021465.02	4911346415197.69	5230658279082.87	6155693671417.47	4635856100570.65	4571835588187.63	4877417580820.04	5141996550036.28	5126256964380.96	6667895415812.69	4628605047023.06	6169224509837.63	4589654597574.22	4968711834627.8	5082304579255.77	5816080359231.68	4504588308696.45	4917310265308.99	5170127875579.19	5939701480668.25	4777119588238.05	5934079310530.11	4316549006126.75	5170808248321.11	262236099798040	1270346910863030	267042819108926	1253960018296260	1183403777819280	1120595090028790	1975922134491310	5090667955065510	2797764342022270	5761875242249310	2453494868438360	4749317664757560	156026562380401	337714673326344	76738355792478.2	403684620618712	185763647611410	325787250824970	422362480426405	120283065671867	524746895274409	881039906355138	429247088216692	683543965819927	112039271541210	665655614951309	472439935946035	567764529861804	104141936320458	653214438112500	164634047583955	139685496208768	946733155616016	126037014512264	1186902959927820	1191603893962580
16:1	232027075196.55	282843194447.979	113674370252.35	278390757727.13	88809181060.9065	233328176855.349	481429140319.61	1055112341260.76	770546455487.641	1250940149510.51	933396453239.236	894366777199.022	252553255473.065	180109956718.069	143019494042.674	262498839947.702	285787248867.044	158924671853.613	375652948659.09	370549857016.138	405505982338.592	565155970954.218	211705178042.407	191647818420.538	142122305380.601	208988299010.861	213537433729.221	327469071766.068	149098779476.037	298926014152.796	513713403317.853	396692182877.283	1103121821471.17	630097467103.721	592360392771.594	599586220414.233	425898181784.435	642949277799.187	438585935150.704	451917333004.683	746993824114.434	719648736287.822	1208969181407.25	1359836489673.33	1733785753847.37	1468755049548.61	1437714732552.06	1827459337914.38	306330895339.351	426198087590.848	263076260397.722	566532913287	396017594040.328	392177194119.131	1673308266865.69	1634049382182.54	2020175010481.57	2567504798263.13	1724311411048.45	2000337507720.1	313933228493.019	546569963188.896	378461984090.621	508795745917.941	342744095106.365	515318635073.99	1744418789428.07	1773003624981.1	2206834624049.14	2009059460981.9	1974687175109.41	3289030644166.63	186651964157174	240607983281333	141791939281555	207639049355084	239846613173181	210058556997173	143190544933008	3870434940820410	2722782238681500	3534266699336250	190941603095605	3853349276352510	4347081000964.05	38518652208951.5	15114973222877.9	34580939538662.3	6905213586577.49	32574096407504.8	31716053341360.8	230165739112512	39461774676037.3	472197237759369	33154982023088.9	271857801101185	27952182645979.7	76994805619029.9	11775273906038.4	59677231169107.6	23329662523221.6	55142688261846	292495357691835	268873247514101	503110988881110	227886135808379	660025486316697	704043806533484
17:0	0	0	0	0	0	0	46031483836.9214	69841139820.5768	73423279388.021	83062525145.1593	58123501857.0667	55660492978.3667	0	0	0	0	0	0	3287130183.09757	1674278311.02653	2269668407.81442	3209190973.69078	3136729985.37878	5160939665.58921	0	0	0	0	0	0	1147920135.32524	2619532630.12776	2523326219.9738	2516643510.4862	2295961135.01749	3611881114.49468	30499406739.0139	38118654641.0358	47255810305.9197	34161008093.7378	34612573688.8515	39004078990.7227	253070604586.266	175743803906.549	408227557556.021	207788188895.119	298138529084.294	231450004090.92	17835395663.0742	42575673187.3122	24360048222.4099	43206634865.7142	18352283962.0564	33347451852.5955	226931472145.974	109889859110.484	279185037697.603	234398246366.959	243066184156.785	213214548637.726	33369659701.4339	12090260097.0077	44751792093.2974	34120588869.398	33142088297.9318	30001212911.6727	257771882189.466	199811882239.545	191073424276.963	288126376045.289	137650836406.231	224954444494.065	4622967355362.65	17066773133144.6	5637255720583.34	17383285136298	8453538403101.29	14348429207103.1	51450260789666.4	429548539461446	481081165698158	499439376056679	65815801371334.1	392409272014873	0	4112863494581.33	535576982442.533	2970417370633.54	0	3810832805997.83	10528103083323.3	4873849571292.26	13615987269702.3	28127133415957	11281122308561.4	17066959682206.3	848517057531.839	5409117435197.08	0	4792788434021.22	551837555511.055	5865806435658.59	5684024244002.11	6632769953705.35	15029338430116	5578365881489.38	15425063028274.8	16010992807709.4
17:1	0	0	0	0	0	0	63877474312.6267	87236760096.1285	79106454170.5738	107863809786.685	66155910897.3075	79764842063.531	0	0	0	0	0	0	20114339432.458	19143187860.1437	18421745743.5574	26513418732.1934	20426977971.728	22204466864.275	0	0	0	0	0	0	14594550751.2824	25551461764.5396	16544685991.2024	24286482773.4647	23199645754.8447	21238206113.4364	23054937564.2212	24363760571.1412	26771230737.5587	25888969938.9068	30159776603.0944	26564188029.3599	168891981080.948	132944142489.544	253869962606.574	155746342183.843	194075702138.926	176359358238.675	11343641999.0188	13181166035.3192	10709677139.1928	18741157986.8634	16063752402.4356	12184972654.9007	153992506634.605	136829122934.413	167213747427.807	184943560508.519	169141137403.038	181199956504.845	14677176992.9182	21997590005.8353	22242135054.2285	23182547210.7523	16115806583.5754	20396828605.2987	169043379087.185	171510856755.73	125725963568.008	200673478122.068	107057076570.912	151418831523.118	10055062051961.7	9087060354039.21	8321569094361.87	11349808474272.2	12733172282393.8	9309771601168.26	40041527442736.7	398391861469467	335585893173008	351727888807152	44434245047150	406739559243820	0	2027548417792.03	519821247248.695	760976228583.544	0	633484947411.654	4891220694522.57	23532063772645.7	5835320047342.8	47751269437183.7	5870072700665.03	28113914723553.1	1624359714184.22	4073340651033.42	0	2725123779646.83	1121103478796.32	3858521545781.77	30269435675279.3	31766402374213.7	50660814167404	23288328130516	58652518111375.3	64964233723977.7
18:0	1274571421110.7	1129755632063.12	753603226790.788	1253794381021.43	1213664586753.78	1038573946496.01	1409461244697.13	1499329925718.49	1734921776176.54	1904384326221.35	1158466628033.36	1332326095832.16	1290609689567.21	811218842503.526	904208324231.952	1124537543702.71	633314007051.837	828565576828.436	768530538572.644	628944031175.785	746127372642.11	1030369794070.19	688195335464.12	1105269826577.77	1038040213082.96	861364476767.644	1161408258665.03	927207409854.748	1248298182220.7	917698845664.768	1075186315790.03	986667908331.581	1036028830930.78	946230641734.201	991011107052.825	1085915370384.04	1520569679999.33	2016367256115.1	2471625875956.48	1523939504634.54	2349992806815.9	2268342857016.63	2009159472870.75	1512604358253.68	1908414216688.3	1436085554295.79	2170019330111.27	2019564629486.03	2572929530755.29	2064678221405.62	3493361729691.89	2348843216929.08	2149598976507.94	1691339782160.23	1794685679539.67	1449558812295.26	2732627295786.94	2049334000525.08	2128893770249	1816307031390.23	2821826587887.1	1970642152309.72	3119189527771.45	2013536145050.82	2510029744590.69	1688576802809.64	2080128302291.97	2749690799292.8	1393983722739.12	2448811336552.82	1067050729439.24	1103495782933.93	48980749929358.6	371792202082935	68558917693867.7	343318456310637	306287601451312	306381131048641	750981282059895	1048521434841130	661033314293912	1440112495494260	886797354871941	1119342935260080	84048199389095.7	96120226349355.2	25342583335574.3	110929223863243	85460976512659.5	104894626042573	170460455371700	18424943929851.6	190449609044330	195647030572028	152018293447026	165270352835729	28984596367224.7	161290119309030	195096220830714	150796715274930	32921335142374.7	171455693747712	39864810572879.5	34471859853216.6	232954286846150	35925430783761.6	259586710308849	255045143376126
18:1	2154224209020.78	2593325008206.74	887783434246.876	3877817563453.7	2031864520142.42	2576037049517.25	3476738659911.65	5361951673263.02	4824007830611.05	5856259161087.4	4114462437206.75	3852923316203.89	1639660887838.14	1921065687480.57	980057204557.217	2948094259876.09	1806239553532.54	908446203995.327	2067042407867.85	1825731867562.92	1603090992554.56	2326920803722.73	2356219399406.74	2211778182756.51	1149497388358.66	1607547937642.81	2266994366595.38	2314920773960.43	2263834014432.07	2382210310146.64	2632587472842.01	2386748906455.16	3766675302603.42	3217156407935.48	2507697613045.49	2640585552547.51	2347696025374.87	2492762080293.84	2846802785423.14	1964164184161.09	3472631486377.12	3472983836400.22	7287472685389.48	6884679995124.41	10095467333312.9	8547137168478.16	8916358588448.6	9288107450913.02	2048148335683.15	1669962686266.66	1926135938242.48	2428188240989.6	2535711806633.74	1704868210029.88	8502931646254.78	6690233706034.76	10102574520422.8	8949451235191.63	8222517028555.69	7733905738139.34	2300404339291.86	2323009812123.04	2816038833189.44	2395250671500.11	2423166602841	2086157202456.05	9482765441631.57	10134397122618.1	10374613415057.7	9593854456382.94	7840227123570.69	10599021256118.4	621389069188921	841377983087885	651266726463295	719402752452479	743879495903596	680441798000629	1933603028855220	8818464458722010	6256641651774290	8376283756949760	2427724763884600	8217053902453430	68863583758551.1	132133059743394	51423286197434.9	149716618725957	64284130066427.2	135992928898323	397360240736082	347021256053254	472101746546793	1086952784527360	404330239250855	795606961317419	110515801324907	249562581479383	144401538695481	215387036797638	110724227530238	228444665844301	489294160605938	441136684579040	1273447909930880	403483451103713	1981757566952760	1904664520243320
18:2	1163169387937.51	1829626431799.19	570118138900.526	2750387773855.13	1698607991820.79	2001943191016.36	655643618002.461	1151838807540.46	953151471881.593	1280408617645.66	802932213901.467	799969464348.325	997512592943.252	1491590739632.86	747326201304.349	1772801899883.5	1012253987215.86	896125727472.934	443093739133.484	379899391006.02	263128752870.273	473652440172.483	613872776479.724	519150248149.684	566545280475.906	1049628262008	1228241455964.41	1624559479797.62	1431058568601.13	1633689475137.03	501204009684.652	473414716523.481	1057004480935.59	778599493552.052	552732212826.44	544417212176.743	2382425186873.24	3423147301214.76	3137232728451.77	2954949789218.9	3964393679420.24	3680049234993	1571329908225.94	1417368130468.38	1682898685947.86	1731780295427.59	1703096592641.69	2114761048554.84	3427677364053.91	3685489942787.31	3759711553601.28	3997753915615.44	2921854042378.84	3087447724855.15	1935299244740.01	1776060210147.98	1717602516931.07	2171664342906.59	1662385917039.26	2240130343302.92	3566696343541.81	3442289686203.09	3794313934214.52	3642799815801.94	3367494610341.43	3080915967554.69	1833678897255.39	2445111824926.16	2138243799125.99	1940412537829.36	1373322387417.86	1043106459908.6	888537271315794	2094783407106580	784938659109455	2090859034889270	1827393622726510	1770652345215770	589001002520121	2915258539299510	1660318318794160	2621913486554950	741699376920564	2889081180805590	152639768572377	517044667620544	198125824407277	537831672868021	173232283209133	554405327437034	141565299507820	236653831947552	183130969657403	612963158531379	144610787229204	451107421080870	354714124996531	927023674702227	432866287755869	884938895509127	332912564725001	956877847830760	295684379310464	284134217705853	670804587506510	237047543172392	704935871374681	777435998987417
